strikePrice,expiryDate,underlying,identifier,pe_openInterest,pe_changeinOpenInterest,pe_pchangeinOpenInterest,pe_totalTradedVolume,pe_impliedVolatility,pe_lastPrice,pe_change,pe_pChange,pe_totalBuyQuantity,pe_totalSellQuantity,pe_bidQty,pe_bidprice,pe_askQty,pe_askPrice,pe_underlyingValue,ce_openInterest,ce_changeinOpenInterest,ce_pchangeinOpenInterest,ce_totalTradedVolume,ce_impliedVolatility,ce_lastPrice,ce_change,ce_pChange,ce_totalBuyQuantity,ce_totalSellQuantity,ce_bidQty,ce_bidprice,ce_askQty,ce_askPrice,ce_underlyingValue
21600,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21600.00,4018,-1579,-28.21154189744506,103291,40.81,4.15,-0.1999999999999993,-4.597701149425271,149850,12300,675,4,1050,4.25,24346.7,351,1,0.2857142857142857,2,0,2749.9,-40.65000000000009,-1.456702083818605,1725,1725,75,2672.05,75,2762.55,24346.7
21650,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21650.00,709,-170,-19.340159271899886,33663,40,4.25,-0.20000000000000018,-4.494382022471914,128325,8175,1575,4.25,1500,4.7,24346.7,7,0,0,0,0,2396.35,0,0,150,150,150,2064.55,150,3671.45,24346.7
21700,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21700.00,2525,-2351,-48.21575061525841,73860,39.86,4.5,-0.25,-5.263157894736842,123300,11775,525,4.45,1800,4.85,24346.7,10,0,0,0,0,2626,0,0,1650,1650,150,2564.25,150,2677.65,24346.7
21750,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21750.00,899,-119,-11.68958742632613,37343,39.39,4.7,-0.14999999999999947,-3.0927835051546286,118200,6750,900,4.7,225,5,24346.7,12,0,0,0,0,2302.2,-36.90000000000009,-1.57752981916122,150,150,150,1964.65,150,3571.35,24346.7
21800,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21800.00,4446,-2032,-31.367706082124112,88869,39.23,5.2,0.10000000000000053,1.960784313725501,119475,38325,1350,4.9,1800,5.15,24346.7,37,0,0,0,0,2530,0,0,1650,1650,150,2464.85,150,2573.05,24346.7
21850,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21850.00,1499,211,16.38198757763975,42963,38.17,4.85,-0.5,-9.345794392523366,124200,4575,150,4.8,1800,5.4,24346.7,8,0,0,0,0,2202.15,-2.5,-0.1133966842809516,1650,1650,150,2415.3,150,2523.7,24346.7
21900,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21900.00,4942,-3503,-41.4801657785672,114059,37.98,5.35,-0.40000000000000036,-6.956521739130441,134025,9450,75,5.3,75,5.6,24346.7,9,0,0,0,0,2468.15,0,0,1650,1650,150,2362.9,150,2475.5,24346.7
21950,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE21950.00,1773,179,11.22961104140527,52672,37.27,5.35,-0.9500000000000002,-15.07936507936508,120975,975,1500,4.85,75,6,24346.7,8,0,0,0,0,2101.55,0.9500000000002728,0.04522517375989112,1650,1650,150,2312.35,750,2430.95,24346.7
22000,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22000.00,79577,12592,18.798238411584684,461239,37.12,5.95,-0.7000000000000002,-10.526315789473687,527175,193425,75,5.9,750,6,24346.7,608,-2,-0.32786885245901637,16,0,2310,-64,-2.695871946082561,2025,1875,75,2309.5,150,2375.7,24346.7
22050,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22050.00,1400,-830,-37.219730941704036,64440,36.71,6.3,-0.4500000000000002,-6.66666666666667,30525,1125,1500,5.35,675,6.3,24346.7,4,0,0,0,0,2005.25,-41.549999999999955,-2.0299980457299176,150,0,150,1665,0,0,24346.7
22100,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22100.00,8252,-6431,-43.79895116801743,145608,35.91,6.2,-1.0999999999999996,-15.068493150684928,42900,9225,900,6.15,1500,6.5,24346.7,22,-5,-18.51851851851852,8,70.15,2427.45,147.44999999999982,6.467105263157887,1500,1500,750,2167.65,750,2273.75,24346.7
22150,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22150.00,874,-650,-42.650918635170605,52349,35.67,6.8,-0.9500000000000002,-12.258064516129034,21525,5700,300,6.5,1500,7.15,24346.7,6,0,0,0,0,1910.25,2.5499999999999545,0.13366881585154658,0,0,0,0,0,0,24346.7
22200,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22200.00,10101,-4891,-32.624066168623266,160247,35.07,6.95,-1.6000000000000005,-18.713450292397667,56250,17925,1800,6.95,75,7.25,24346.7,33,0,0,2,73.62,2367.35,204.69999999999982,9.465239405359158,1500,1500,750,2068.25,750,2176.95,24346.7
22250,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22250.00,2223,477,27.31958762886598,66104,34.7,7.45,-1.7999999999999998,-19.459459459459456,43425,5100,225,6.9,1500,7.7,24346.7,6,0,0,0,0,1813.25,0.20000000000004547,0.011031135379611454,1500,1500,750,2016.2,750,2127.2,24346.7
22300,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22300.00,9013,-511,-5.365392692146157,151887,34.11,7.65,-2.5,-24.63054187192118,60825,9300,600,7.55,300,7.7,24346.7,135,5,3.8461538461538463,25,0,1919.6,-167.9000000000001,-8.043113772455095,1575,1575,75,2008.35,75,2035.65,24346.7
22350,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22350.00,2174,-2782,-56.133979015334944,92157,33.77,8.25,-2.8000000000000007,-25.33936651583711,23850,5100,450,7.9,75,8.2,24346.7,7,0,0,0,0,1717.15,-0.75,-0.04365795447930613,1500,1500,750,1917.4,750,2024.05,24346.7
